os.path.abspath(),Path.resolve(),返回绝对路径
os.chmod(),Path.chmod(),
os.mkdir(),Path.mkdir(),
os.rename(),Path.rename(),
os.replace(),Path.replace(),"移动文件,pathlib没有明确支持安全移动文件。 为了避免可能覆盖目标路径，最简单的方法是在更换之前测试目标是否存在"
os.rmdir(),Path.rmdir(),
"os.remove(),os.unlink()",Path.unlink(),删除文件或目录(非空触发异常)
os.getcwd(),Path.cwd(),获取当前工作目录
os.path.exists(),Path.exists(),判断路径是否存在
os.path.expanduser(),"Path.expanduser(),Path.home()",
os.path.isdir(),Path.is_dir(),判断是否目录
os.path.is_file(),Path.is_dir(),
os.path.islink(),Path.is_symlink(),
os.stat(),"Path.stat(),Path.owner(),Path.group()",
os.path.isabs(),PurePath.is_absoulte(),
os.path.join(),PurePath.joinpath(),
os.path.basename(),PurePath.name(),
os.path.dirname(),PuerPath.parent,
os.path.samefile(),Path.samefile(),
os.path.splitext(),Purepath.suffix(),
